date,title,index
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de KLBN4 prorrogado ate as 10:01:00,3085551
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de UGPA3 prorrogado ate as 10:01:00,3085545
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de ELPL4 prorrogado ate as 10:01:00,3085550
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de BRKM5 prorrogado ate as 10:01:00,3085546
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de BRPR3 prorrogado ate as 10:01:00,3085548
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de BRAP4 prorrogado ate as 10:01:00,3085549
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de CSAN3 prorrogado ate as 10:01:00,3085547
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de LIGT3 prorrogado ate as 10:01:00,3085558
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de GOAU4 prorrogado ate as 10:01:00,3085557
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de KROT3 prorrogado ate as 10:01:00,3085553
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de DTEX3 prorrogado ate as 10:01:00,3085555
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de ENBR3 prorrogado ate as 10:01:00,3085552
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de CPLE6 prorrogado ate as 10:01:00,3085559
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de EMBR3 prorrogado ate as 10:01:00,3085554
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de DASA3 prorrogado ate as 10:01:00,3085556
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de OSXB3 prorrogado ate as 10:01:00,3085563
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de USIM3 prorrogado ate as 10:01:00,3085561
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de BBRC11 prorrogado ate as 10:01:00,3085562
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de PETRL21 prorrogado ate as 10:01:00,3085564
"
, 03 dez, 2013 09h59 
 ,
, 03 dez, 2013 09h59 
",Leilao de BTOW3 prorrogado ate as 10:01:00,3085560
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de AEFI11 prorrogado ate as 10:01:00,3085565
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de GETI3F prorrogado ate as 10:01:00,3085570
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de VALEX32 prorrogado ate as 10:01:00,3085568
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de CESP6F prorrogado ate as 10:01:00,3085567
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de BBVJ11 prorrogado ate as 10:01:00,3085571
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de VALEL36 prorrogado ate as 10:01:00,3085566
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de EVEN3 prorrogado ate as 10:01:00,3085573
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de MPLU3 prorrogado ate as 10:01:00,3085574
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de PETRA24 prorrogado ate as 10:01:00,3085569
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de DAYC4 prorrogado ate as 10:01:00,3085572
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de SMLE3 prorrogado ate as 10:01:00,3085575
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de POMO4 prorrogado ate as 10:01:00,3085576
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de EQTL3 prorrogado ate as 10:01:00,3085578
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de MYPK3 prorrogado ate as 10:01:00,3085580
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de LINX3 prorrogado ate as 10:01:00,3085583
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de HRTP3 prorrogado ate as 10:01:00,3085577
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de BBRK3 prorrogado ate as 10:01:00,3085579
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de WEGE3 prorrogado ate as 10:01:00,3085582
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de RNGO11 prorrogado ate as 10:01:00,3085586
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de PETR4F prorrogado ate as 10:01:00,3085588
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de TBLE3 prorrogado ate as 10:01:00,3085584
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de JSLG3 prorrogado ate as 10:01:00,3085585
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de BRSR6 prorrogado ate as 10:01:00,3085581
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de GETI4F prorrogado ate as 10:01:00,3085587
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de VALEA36 prorrogado ate as 10:01:00,3085589
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de RPMG3 prorrogado ate as 10:01:00,3085590
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de BBSE3F prorrogado ate as 10:01:00,3085591
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(VIVT3F)- LEILAO DE TELEF BRASILON ATE 10:05HS,3085595
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de CPFE3F prorrogado ate as 10:01:00,3085593
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de CIEL3F prorrogado ate as 10:01:00,3085592
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de PETRL17 prorrogado ate as 10:01:00,3085594
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(BMIN4)- LEILAO DE MERC INVEST PN ATE 10:15HS,3085600
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(RJCP3) - LEILAO DE RJCP EQUITY ON ATE AS 10:30HS,3085597
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",Leilao de PINE4 prorrogado ate as 10:01:00,3085596
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(OGXP3) - LEILAO DE OGX PETROLEOON      NM  ATE AS 10:30HS,3085598
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(TECN3)- LEILAO DE TECHNOS ON NM ATE 10:05HS,3085599
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(ROMI3)- LEILAO DE INDS ROMI ON NM ATE 10:05HS,3085601
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(BBDC4)- LEILAO DE BRADESCO    PN  EJ  N1 ATE 10:05HS,3085602
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(VALE3)- ALTERADO O HORARIO DO LEILAO DE VALE ON N1 ATE 10:05HS,3085605
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(BBDC3)- LEILAO DE BRADESCO ON EJ N1 ATE 10:05HS,3085603
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(BBDC4F)- LEILAO DE BRADESCO PN FRA EJ  N1 ATE 10:05HS,3085604
"
, 03 dez, 2013 10h00 
 ,
, 03 dez, 2013 10h00 
",(INET3) - LEILAO DE INEPAR TEL  ON  ES ATE AS 10:30HS,3085606
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de BEEF3 prorrogado ate as 10:02:00,3085607
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de PETRL20 prorrogado ate as 10:02:00,3085610
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de LLXL3 prorrogado ate as 10:02:00,3085608
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de BRML3 prorrogado ate as 10:02:00,3085611
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",(RCSL4) - LEILAO DE  RECRUSUL    PN ATE AS 10:30HS,3085612
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de PETRL21 prorrogado ate as 10:02:00,3085609
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de MRVE3 prorrogado ate as 10:02:00,3085617
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de PETRL18 prorrogado ate as 10:02:00,3085613
"
, 03 dez, 2013 10h01 
 ,
, 03 dez, 2013 10h01 
",Leilao de VALEL36 prorrogado ate as 10:02:00,3085619
