date,title,index
,,3440534
,,3440531
,,3440532
,,3440536
"
, 04 jul, 2014 05h44 
 ,
, 04 jul, 2014 05h44 
",05:43,3440538
"
, 04 jul, 2014 03h16 
 ,
, 04 jul, 2014 03h16 
",1.41.1.2014.07.04.7.EC - Encomendas à indústria da Alemanha caem em maio,3440535
,,3440541
"
, 03 jul, 2014 16h37 
 ,
, 03 jul, 2014 16h37 
",Ninguém segura a GM! Vendas sobem em junho mesmo com previsão de queda ,3440530
"
, 03 jul, 2014 16h12 
 ,
, 03 jul, 2014 16h12 
",Confira os cinco carros que viraram estrelas nas telonas do cinema,3440529
"
, 04 jul, 2014 00h32 
 ,
, 04 jul, 2014 00h32 
",1.41.1.2014.07.04.2.EC - China irá criar clearing de câmbio em Seul,3440533
,,3440548
"
, 04 jul, 2014 03h17 
 ,
, 04 jul, 2014 03h17 
",1.41.1.2014.07.04.8.EC - OCDE alerta Japão para aumento da desigualdade,3440537
"
, 04 jul, 2014 06h01 
 ,
, 04 jul, 2014 06h01 
",(04/07/14) BANCO DE TITULOS CBLC,3440539
"
, 03 jul, 2014 22h06 
 - Atualizada em 22h07  ,
, 03 jul, 2014 22h07 
",KBN0F902C - EUA insistem para que Argentina encontre solução com detentores de dívida,3440544
"
, 04 jul, 2014 09h08 
 ,
, 04 jul, 2014 09h08 
",EUA insistem para que Argentina encontre solução com detentores de dívida,3440543
"
, 03 jul, 2014 20h45 
 ,
, 03 jul, 2014 20h45 
",KBN0F82P7 - Ampla oferta traz incerteza para exportações de milho do Brasil no 2º semestre,3440542
"
, 04 jul, 2014 07h36 
 ,
, 04 jul, 2014 07h36 
",Petrobras prevê perda de US$ 15 bilhões com suspensão de contratos com holandesa,3440545
,,3440552
,,3440555
"
, 04 jul, 2014 07h16 
 ,
, 04 jul, 2014 07h16 
",1.41.1.2014.07.04.11.EC - Petrobras prevê perda de US$ 15 bilhões,3440546
"
, 04 jul, 2014 09h13 
 ,
, 04 jul, 2014 09h13 
","Depois da euforia, a calmaria: Ibovespa Futuro tem leve queda em dia de jogo e sem EUA",3440547
"
, 04 jul, 2014 07h52 
 ,
, 04 jul, 2014 07h52 
",Negociação entre União Europeia e Mercosul não avança este ano,3440550
"
, 04 jul, 2014 07h29 
 ,
, 04 jul, 2014 07h29 
",1.41.1.2014.07.04.13.EC - Negociação entre UE e Mercosul não avança este ano,3440551
,,3440561
"
, 04 jul, 2014 08h21 
 ,
, 04 jul, 2014 08h21 
",FT diz que ainda é cedo para Dilma comemorar Copa e destaca queda de viaduto em MG,3440553
"
, 04 jul, 2014 07h23 
 ,
, 04 jul, 2014 07h23 
",1.41.1.2014.07.04.12.EC - Mais da metade das obras de transmissão tem atraso,3440549
"
, 04 jul, 2014 09h21 
 ,
, 04 jul, 2014 09h21 
",Premiê da China diz que desempenho da economia está melhor no 2º tri,3440557
"
, 04 jul, 2014 08h28 
 ,
, 04 jul, 2014 08h28 
",Bolsas asiáticas atingem máxima de 3 anos após dados de emprego nos EUA,3440554
"
, 04 jul, 2014 07h12 
 - Atualizada em 07h13  ,
, 04 jul, 2014 07h13 
",KBN0F90U3 - ThyssenKrupp mantém previsão de lucro para usina no Brasil,3440556
,,3440563
"
, 04 jul, 2014 07h24 
 ,
, 04 jul, 2014 07h24 
",KBN0F90UZ - Tenda diz estar apurando inclusão em &quot;lista suja&quot; do MTE,3440560
"
, 04 jul, 2014 08h56 
 ,
, 04 jul, 2014 08h56 
","Tenda diz estar apurando inclusão em ""lista suja"" do MTE",3440559
